Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
کہاں نصیب یہ ہوتا جو بے خطا ہوتے,kahāñ nasīb ye hotā jo beḳhatā hote,ک ہ ا ں   ن ص ی ب   ی ہ   ہ و ت ا   ج و   ب ے   خ ط ا   ہ و ت ے,k a h ā ñ   n a s ī b   y e   h o t ā   j o   b e ḳ h a t ā   h o t e
کچہ ایسے بہی تو ہیں رندان پاک باز جگرؔ,kuchh aise bhī to haiñ rindānepākbāz jigar,ک چ ہ   ا ی س ے   ب ہ ی   ت و   ہ ی ں   ر ن د ا ن   پ ا ک   ب ا ز   ج گ ر ؔ,k u c h h   a i s e   b h ī   t o   h a i ñ   r i n d ā n e p ā k b ā z   j i g a r
بات میری کبہی سنی ہی نہیں,baat merī kabhī sunī hī nahīñ,ب ا ت   م ی ر ی   ک ب ہ ی   س ن ی   ہ ی   ن ہ ی ں,b a a t   m e r ī   k a b h ī   s u n ī   h ī   n a h ī ñ
اس جفا پر تمہیں تمنا ہے,is jafā par tumheñ tamannā hai,ا س   ج ف ا   پ ر   ت م ہ ی ں   ت م ن ا   ہ ے,i s   j a f ā   p a r   t u m h e ñ   t a m a n n ā   h a i
اپنی مشق ستم سے ہاتہ نہ کہینچ,apnī mashqesitam se haath na khīñch,ا پ ن ی   م ش ق   س ت م   س ے   ہ ا ت ہ   ن ہ   ک ہ ی ن چ,a p n ī   m a s h q e s i t a m   s e   h a a t h   n a   k h ī ñ c h
شب فرقت کہیں کٹتی ہے ان افسانوں میں,shabefurqat kahīñ kattī hai in afsānoñ meñ,ش ب   ف ر ق ت   ک ہ ی ں   ک ٹ ت ی   ہ ے   ا ن   ا ف س ا ن و ں   م ی ں,s h a b e f u r q a t   k a h ī ñ   k a t t ī   h a i   i n   a f s ā n o ñ   m e ñ
حیرت فکر سخن ساز سلامت ہے اسدؔ,hairatefikresuḳhan sāzesalāmat hai asad,ح ی ر ت   ف ک ر   س خ ن   س ا ز   س ل ا م ت   ہ ے   ا س د ؔ,h a i r a t e f i k r e s u ḳ h a n   s ā z e s a l ā m a t   h a i   a s a d
پونچہ سکتا ہے ہم نشیں انسو,poñchh saktā hai hamnashīñ aañsū,پ و ن چ ہ   س ک ت ا   ہ ے   ہ م   ن ش ی ں   ا ن س و,p o ñ c h h   s a k t ā   h a i   h a m n a s h ī ñ   a a ñ s ū
چہاچہ پہونکیں کہ اپنے بچپن میں,chhāchh phūñkeñ ki apne bachpan meñ,چ ہ ا چ ہ   پ ہ و ن ک ی ں   ک ہ   ا پ ن ے   ب چ پ ن   م ی ں,c h h ā c h h   p h ū ñ k e ñ   k i   a p n e   b a c h p a n   m e ñ
کچہ تجہے یاد دلانے ائے,kuchh tujhe yaad dilāne aae,ک چ ہ   ت ج ہ ے   ی ا د   د ل ا ن ے   ا ئ ے,k u c h h   t u j h e   y a a d   d i l ā n e   a a e
نا ممکن ہے جن کا ملنا اور نہیں جو انے والے,nāmumkin hai jin kā milnā aur nahīñ jo aane vaale,ن ا   م م ک ن   ہ ے   ج ن   ک ا   م ل ن ا   ا و ر   ن ہ ی ں   ج و   ا ن ے   و ا ل ے,n ā m u m k i n   h a i   j i n   k ā   m i l n ā   a u r   n a h ī ñ   j o   a a n e   v a a l e
پر فشان سوختن ہیں صورت پروانہ ہم,parfashānesoḳhtan haiñ sūrateparvāna ham,پ ر   ف ش ا ن   س و خ ت ن   ہ ی ں   ص و ر ت   پ ر و ا ن ہ   ہ م,p a r f a s h ā n e s o ḳ h t a n   h a i ñ   s ū r a t e p a r v ā n a   h a m
جس سے ملیے اسے خفا کیجے,jis se miliye use ḳhafā kiije,ج س   س ے   م ل ی ے   ا س ے   خ ف ا   ک ی ج ے,j i s   s e   m i l i y e   u s e   ḳ h a f ā   k i i j e
ہائے کیا دیوانگی تہی اے وسیمؔ,haae kyā dīvāngī thī ai vasīm,ہ ا ئ ے   ک ی ا   د ی و ا ن گ ی   ت ہ ی   ا ے   و س ی م ؔ,h a a e   k y ā   d ī v ā n g ī   t h ī   a i   v a s ī m
میرے سب طنز بے اثر ہی رہے,mere sab tanz beasar hī rahe,م ی ر ے   س ب   ط ن ز   ب ے   ا ث ر   ہ ی   ر ہ ے,m e r e   s a b   t a n z   b e a s a r   h ī   r a h e
چاہے بہی تو مجہ سے وہ جدا ہو نہیں سکتا,chāhe bhī to mujh se vo judā ho nahīñ saktā,چ ا ہ ے   ب ہ ی   ت و   م ج ہ   س ے   و ہ   ج د ا   ہ و   ن ہ ی ں   س ک ت ا,c h ā h e   b h ī   t o   m u j h   s e   v o   j u d ā   h o   n a h ī ñ   s a k t ā
اوروں کے بل پہ بل نہ کر اتنا نہ چل نکل,auroñ ke bal pe bal na kar itnā na chal nikal,ا و ر و ں   ک ے   ب ل   پ ہ   ب ل   ن ہ   ک ر   ا ت ن ا   ن ہ   چ ل   ن ک ل,a u r o ñ   k e   b a l   p e   b a l   n a   k a r   i t n ā   n a   c h a l   n i k a l
یہ عجیب ستم ہے عجیب جفا کہ یہاں نہ رہے تو کہیں نہ رہے,ye ajiib sitam hai ajiib jafā ki yahāñ na rahe to kahīñ na rahe,ی ہ   ع ج ی ب   س ت م   ہ ے   ع ج ی ب   ج ف ا   ک ہ   ی ہ ا ں   ن ہ   ر ہ ے   ت و   ک ہ ی ں   ن ہ   ر ہ ے,y e   a j i i b   s i t a m   h a i   a j i i b   j a f ā   k i   y a h ā ñ   n a   r a h e   t o   k a h ī ñ   n a   r a h e
اس کے جلسے کے یار ہم بہی ہیں,us ke jalse ke yaar ham bhī haiñ,ا س   ک ے   ج ل س ے   ک ے   ی ا ر   ہ م   ب ہ ی   ہ ی ں,u s   k e   j a l s e   k e   y a a r   h a m   b h ī   h a i ñ
میں اسے شام ہی کو بہول گیا,maiñ use shaam hī ko bhuul gayā,م ی ں   ا س ے   ش ا م   ہ ی   ک و   ب ہ و ل   گ ی ا,m a i ñ   u s e   s h a a m   h ī   k o   b h u u l   g a y ā
زلزلہ اہل زمیں کو بد حواسی دے گیا,zalzala ahlezamīñ ko badhavāsī de gayā,ز ل ز ل ہ   ا ہ ل   ز م ی ں   ک و   ب د   ح و ا س ی   د ے   گ ی ا,z a l z a l a   a h l e z a m ī ñ   k o   b a d h a v ā s ī   d e   g a y ā
پہلے کہاں یہ ناز تہے یہ عشوہ و ادا,pahle kahāñ ye naaz the ye ishva o adā,پ ہ ل ے   ک ہ ا ں   ی ہ   ن ا ز   ت ہ ے   ی ہ   ع ش و ہ   و   ا د ا,p a h l e   k a h ā ñ   y e   n a a z   t h e   y e   i s h v a   o   a d ā
دیوار پہ خورشید کا مستی سے سر اوے,dīvār pe ḳhurshīd kā mastī se sar aave,د ی و ا ر   پ ہ   خ و ر ش ی د   ک ا   م س ت ی   س ے   س ر   ا و ے,d ī v ā r   p e   ḳ h u r s h ī d   k ā   m a s t ī   s e   s a r   a a v e
غزل ہے نام اس کا شاعری میں,ġhazal hai naam us kā shāerī meñ,غ ز ل   ہ ے   ن ا م   ا س   ک ا   ش ا ع ر ی   م ی ں,ġ h a z a l   h a i   n a a m   u s   k ā   s h ā e r ī   m e ñ
گر عرض تپاک جگر سوختہ چاہیں,gar arzetapākejigaresoḳhta chāheñ,گ ر   ع ر ض   ت پ ا ک   ج گ ر   س و خ ت ہ   چ ا ہ ی ں,g a r   a r z e t a p ā k e j i g a r e s o ḳ h t a   c h ā h e ñ
انکہیں پر نم ہو جاتی ہیں غربت کے صحراؤں میں,āñkheñ purnam ho jaatī haiñ ġhurbat ke sahrāoñ meñ,ا ن ک ہ ی ں   پ ر   ن م   ہ و   ج ا ت ی   ہ ی ں   غ ر ب ت   ک ے   ص ح ر ا ؤ ں   م ی ں,ā ñ k h e ñ   p u r n a m   h o   j a a t ī   h a i ñ   ġ h u r b a t   k e   s a h r ā o ñ   m e ñ
فغان شوق کو مانع نہیں وصل,fuġhāneshauq ko maane nahīñ vasl,ف غ ا ن   ش و ق   ک و   م ا ن ع   ن ہ ی ں   و ص ل,f u ġ h ā n e s h a u q   k o   m a a n e   n a h ī ñ   v a s l
ائے ہے بیکسی عشق پہ رونا غالبؔ,aae hai bekasīeishq pe ronā ġhālib,ا ئ ے   ہ ے   ب ی ک س ی   ع ش ق   پ ہ   ر و ن ا   غ ا ل ب ؔ,a a e   h a i   b e k a s ī e i s h q   p e   r o n ā   ġ h ā l i b
اسی نے مجہ پہ اٹہائے ہیں سنگ جس کے لیے,usī ne mujh pe uthāe haiñ sañg jis ke liye,ا س ی   ن ے   م ج ہ   پ ہ   ا ٹ ہ ا ئ ے   ہ ی ں   س ن گ   ج س   ک ے   ل ی ے,u s ī   n e   m u j h   p e   u t h ā e   h a i ñ   s a ñ g   j i s   k e   l i y e
جب کہا میں نے بہلا دو غیر کو ہنس کر کہا,jab kahā maiñ ne bhulā do ġhair ko hañs kar kahā,ج ب   ک ہ ا   م ی ں   ن ے   ب ہ ل ا   د و   غ ی ر   ک و   ہ ن س   ک ر   ک ہ ا,j a b   k a h ā   m a i ñ   n e   b h u l ā   d o   ġ h a i r   k o   h a ñ s   k a r   k a h ā
کم سے کم وہ دل ہی دل میں یہ مانا تو ہوگا,kam se kam vo dil hī dil meñ ye maanā to hogā,ک م   س ے   ک م   و ہ   د ل   ہ ی   د ل   م ی ں   ی ہ   م ا ن ا   ت و   ہ و گ ا,k a m   s e   k a m   v o   d i l   h ī   d i l   m e ñ   y e   m a a n ā   t o   h o g ā
نہ کر سرگرم اس کافر کو الفت ازمانے میں,na kar sargarm us kāfir ko ulfat āzmāne meñ,ن ہ   ک ر   س ر گ ر م   ا س   ک ا ف ر   ک و   ا ل ف ت   ا ز م ا ن ے   م ی ں,n a   k a r   s a r g a r m   u s   k ā f i r   k o   u l f a t   ā z m ā n e   m e ñ
کبہی نیکی بہی اس کے جی میں گر ا جائے ہے مجہ سے,kabhī nekī bhī us ke jī meñ gar aa jaae hai mujh se,ک ب ہ ی   ن ی ک ی   ب ہ ی   ا س   ک ے   ج ی   م ی ں   گ ر   ا   ج ا ئ ے   ہ ے   م ج ہ   س ے,k a b h ī   n e k ī   b h ī   u s   k e   j ī   m e ñ   g a r   a a   j a a e   h a i   m u j h   s e
بہوں پاس انکہ قبلۂ حاجات چاہیے,bhauñ paas aañkh qiblaehājāt chāhiye,ب ہ و ں   پ ا س   ا ن ک ہ   ق ب ل ۂ   ح ا ج ا ت   چ ا ہ ی ے,b h a u ñ   p a a s   a a ñ k h   q i b l a e h ā j ā t   c h ā h i y e
لازم تہا کہ دیکہو مرا رستا کوئی دن اور,lāzim thā ki dekho mirā rastā koī din aur,ل ا ز م   ت ہ ا   ک ہ   د ی ک ہ و   م ر ا   ر س ت ا   ک و ئ ی   د ن   ا و ر,l ā z i m   t h ā   k i   d e k h o   m i r ā   r a s t ā   k o ī   d i n   a u r
اغوش خم حلقۂ زنار میں اوے,āġhosheḳhamehalqaezunnār meñ aave,ا غ و ش   خ م   ح ل ق ۂ   ز ن ا ر   م ی ں   ا و ے,ā ġ h o s h e ḳ h a m e h a l q a e z u n n ā r   m e ñ   a a v e
یوں ہے منظور خانہ ویرانی,yuuñ hai manzūr ḳhānavīrānī,ی و ں   ہ ے   م ن ظ و ر   خ ا ن ہ   و ی ر ا ن ی,y u u ñ   h a i   m a n z ū r   ḳ h ā n a v ī r ā n ī
جہاں کے باب میں تر دامنوں کا قول یہ ہے,jahāñ ke baab meñ tar dāmanoñ kā qaul ye hai,ج ہ ا ں   ک ے   ب ا ب   م ی ں   ت ر   د ا م ن و ں   ک ا   ق و ل   ی ہ   ہ ے,j a h ā ñ   k e   b a a b   m e ñ   t a r   d ā m a n o ñ   k ā   q a u l   y e   h a i
نہ اس کے دل سے مٹایا کہ صاف ہو جاتا,na us ke dil se mitāyā ki saaf ho jaatā,ن ہ   ا س   ک ے   د ل   س ے   م ٹ ا ی ا   ک ہ   ص ا ف   ہ و   ج ا ت ا,n a   u s   k e   d i l   s e   m i t ā y ā   k i   s a a f   h o   j a a t ā
میں نے بہی اس گلی میں گزاری ہے رو کے عمر,maiñ ne bhī us galī meñ guzārī hai ro ke umr,م ی ں   ن ے   ب ہ ی   ا س   گ ل ی   م ی ں   گ ز ا ر ی   ہ ے   ر و   ک ے   ع م ر,m a i ñ   n e   b h ī   u s   g a l ī   m e ñ   g u z ā r ī   h a i   r o   k e   u m r
فسانۂ شب غم ورنہ دوستو کیا تہا,fasānaeshabeġham varna dosto kyā thā,ف س ا ن ۂ   ش ب   غ م   و ر ن ہ   د و س ت و   ک ی ا   ت ہ ا,f a s ā n a e s h a b e ġ h a m   v a r n a   d o s t o   k y ā   t h ā
دشواریٔ رہ و ستم ہم رہاں نہ پوچہ,dushvārierahositamehamrahāñ na pūchh,د ش و ا ر ی ٔ   ر ہ   و   س ت م   ہ م   ر ہ ا ں   ن ہ   پ و چ ہ,d u s h v ā r i e r a h o s i t a m e h a m r a h ā ñ   n a   p ū c h h
اسدؔ پردے میں بہی اہنگ شوق یار قائم ہے,asad parde meñ bhī āhañgeshauqeyār qaaem hai,ا س د ؔ   پ ر د ے   م ی ں   ب ہ ی   ا ہ ن گ   ش و ق   ی ا ر   ق ا ئ م   ہ ے,a s a d   p a r d e   m e ñ   b h ī   ā h a ñ g e s h a u q e y ā r   q a a e m   h a i
دوستو کافی نہیں چشم خرد,dosto kaafī nahīñ chashmeḳhirad,د و س ت و   ک ا ف ی   ن ہ ی ں   چ ش م   خ ر د,d o s t o   k a a f ī   n a h ī ñ   c h a s h m e ḳ h i r a d
تغافل ہائے تمکیں ازما کیا,taġhāfulhāetamkīñāzmā kyā,ت غ ا ف ل   ہ ا ئ ے   ت م ک ی ں   ا ز م ا   ک ی ا,t a ġ h ā f u l h ā e t a m k ī ñ ā z m ā   k y ā
چہوڑا مہ نخشب کی طرح دست قضا نے,chhoḍā mahenaḳhshab kī tarah dasteqazā ne,چ ہ و ڑ ا   م ہ   ن خ ش ب   ک ی   ط ر ح   د س ت   ق ض ا   ن ے,c h h o ḍ ā   m a h e n a ḳ h s h a b   k ī   t a r a h   d a s t e q a z ā   n e
افتاب صبح محشر ہے گل دستار دوست,āftābesubhemahshar hai guledastāredost,ا ف ت ا ب   ص ب ح   م ح ش ر   ہ ے   گ ل   د س ت ا ر   د و س ت,ā f t ā b e s u b h e m a h s h a r   h a i   g u l e d a s t ā r e d o s t
کبہی جو ہوتی ہے تکرار غیر سے ہم سے,kabhī jo hotī hai takrār ġhair se ham se,ک ب ہ ی   ج و   ہ و ت ی   ہ ے   ت ک ر ا ر   غ ی ر   س ے   ہ م   س ے,k a b h ī   j o   h o t ī   h a i   t a k r ā r   ġ h a i r   s e   h a m   s e
بحر کم ظرف ہے بسان حباب,bahr kamzarf hai basānehabāb,ب ح ر   ک م   ظ ر ف   ہ ے   ب س ا ن   ح ب ا ب,b a h r   k a m z a r f   h a i   b a s ā n e h a b ā b
در خور قہر و غضب جب کوئی ہم سا نہ ہوا,darḳhureqahroġhazab jab koī ham sā na huā,د ر   خ و ر   ق ہ ر   و   غ ض ب   ج ب   ک و ئ ی   ہ م   س ا   ن ہ   ہ و ا,d a r ḳ h u r e q a h r o ġ h a z a b   j a b   k o ī   h a m   s ā   n a   h u ā
درماندگی میں غالبؔ کچہ بن پڑے تو جانوں,darmāndagī meñ ġhālib kuchh ban paḍe to jānūñ,د ر م ا ن د گ ی   م ی ں   غ ا ل ب ؔ   ک چ ہ   ب ن   پ ڑ ے   ت و   ج ا ن و ں,d a r m ā n d a g ī   m e ñ   ġ h ā l i b   k u c h h   b a n   p a ḍ e   t o   j ā n ū ñ
ایسی رت میں تو گہنے پیڑ بہی جہڑ جاتے ہیں,aisī rut meñ to ghane peḍ bhī jhaḍ jaate haiñ,ا ی س ی   ر ت   م ی ں   ت و   گ ہ ن ے   پ ی ڑ   ب ہ ی   ج ہ ڑ   ج ا ت ے   ہ ی ں,a i s ī   r u t   m e ñ   t o   g h a n e   p e ḍ   b h ī   j h a ḍ   j a a t e   h a i ñ
ہوا کیے ہیں جواہر نثار ہم پر بہی,huā kiye haiñ javāhir nisār ham par bhī,ہ و ا   ک ی ے   ہ ی ں   ج و ا ہ ر   ن ث ا ر   ہ م   پ ر   ب ہ ی,h u ā   k i y e   h a i ñ   j a v ā h i r   n i s ā r   h a m   p a r   b h ī
تہی صعب عاشقی کی بدایت ہی میرؔ پر,thī sābeāshiqī kī badāyat hī mīr par,ت ہ ی   ص ع ب   ع ا ش ق ی   ک ی   ب د ا ی ت   ہ ی   م ی ر ؔ   پ ر,t h ī   s ā b e ā s h i q ī   k ī   b a d ā y a t   h ī   m ī r   p a r
مرہم کی جستجو میں پہرا ہوں جو دور دور,marham kī justujū meñ phirā huuñ jo duur duur,م ر ہ م   ک ی   ج س ت ج و   م ی ں   پ ہ ر ا   ہ و ں   ج و   د و ر   د و ر,m a r h a m   k ī   j u s t u j ū   m e ñ   p h i r ā   h u u ñ   j o   d u u r   d u u r
ترے بدن سے جو چہو کر ادہر بہی اتا ہے,tire badan se jo chhū kar idhar bhī aatā hai,ت ر ے   ب د ن   س ے   ج و   چ ہ و   ک ر   ا د ہ ر   ب ہ ی   ا ت ا   ہ ے,t i r e   b a d a n   s e   j o   c h h ū   k a r   i d h a r   b h ī   a a t ā   h a i
دست گاہ دیدۂ خوں بار مجنوں دیکہنا,dastgāhedīdaeḳhūñbāremajnūñ dekhnā,د س ت   گ ا ہ   د ی د ۂ   خ و ں   ب ا ر   م ج ن و ں   د ی ک ہ ن ا,d a s t g ā h e d ī d a e ḳ h ū ñ b ā r e m a j n ū ñ   d e k h n ā
دور ہنگامۂ نشاط نہ پوچہ,daurehañgāmaenashāt na pūchh,د و ر   ہ ن گ ا م ۂ   ن ش ا ط   ن ہ   پ و چ ہ,d a u r e h a ñ g ā m a e n a s h ā t   n a   p ū c h h
چپ رہ نہ سکا حضرت یزداں میں بہی اقبالؔ,chup rah na sakā hazrateyazdāñ meñ bhī iqbāl,چ پ   ر ہ   ن ہ   س ک ا   ح ض ر ت   ی ز د ا ں   م ی ں   ب ہ ی   ا ق ب ا ل ؔ,c h u p   r a h   n a   s a k ā   h a z r a t e y a z d ā ñ   m e ñ   b h ī   i q b ā l
اثار تیرگی کے ہیں دن کی روشنی میں,āsār tīrgī ke haiñ din kī raushnī meñ,ا ث ا ر   ت ی ر گ ی   ک ے   ہ ی ں   د ن   ک ی   ر و ش ن ی   م ی ں,ā s ā r   t ī r g ī   k e   h a i ñ   d i n   k ī   r a u s h n ī   m e ñ
گر اس قید بلا سے اب کی چہوٹیں گے تو پہر ہرگز,gar is qaidebalā se ab kī chhūteñge to phir hargiz,گ ر   ا س   ق ی د   ب ل ا   س ے   ا ب   ک ی   چ ہ و ٹ ی ں   گ ے   ت و   پ ہ ر   ہ ر گ ز,g a r   i s   q a i d e b a l ā   s e   a b   k ī   c h h ū t e ñ g e   t o   p h i r   h a r g i z
کاغذی ہے پیرہن ہر پیکر تصویر کا,kāġhzī hai pairahan har paikaretasvīr kā,ک ا غ ذ ی   ہ ے   پ ی ر ہ ن   ہ ر   پ ی ک ر   ت ص و ی ر   ک ا,k ā ġ h z ī   h a i   p a i r a h a n   h a r   p a i k a r e t a s v ī r   k ā
ہے جنوں اہل جنوں کے لیے آغوش وداع,hai junūñ ahlejunūñ ke liye āġhoshevidāa,ہ ے   ج ن و ں   ا ہ ل   ج ن و ں   ک ے   ل ی ے   ا ٓ غ و ش   و د ا ع,h a i   j u n ū ñ   a h l e j u n ū ñ   k e   l i y e   ā ġ h o s h e v i d ā a
عیاں ہے رنگ کی شوخی سوں اے شوخ,ayaañ hai rañg kī shoḳhī suuñ ai shoḳh,ع ی ا ں   ہ ے   ر ن گ   ک ی   ش و خ ی   س و ں   ا ے   ش و خ,a y a a ñ   h a i   r a ñ g   k ī   s h o ḳ h ī   s u u ñ   a i   s h o ḳ h
تنہائی فراق کے قربان جائیے,tanhāīefirāq ke qurbān jāiye,ت ن ہ ا ئ ی   ف ر ا ق   ک ے   ق ر ب ا ن   ج ا ئ ی ے,t a n h ā ī e f i r ā q   k e   q u r b ā n   j ā i y e
فریب دے کر نکالے مطلب سکہائے تحقیر دین و مذہب,fareb de kar nikāle matlab sikhāe tahqīredīnomazhab,ف ر ی ب   د ے   ک ر   ن ک ا ل ے   م ط ل ب   س ک ہ ا ئ ے   ت ح ق ی ر   د ی ن   و   م ذ ہ ب,f a r e b   d e   k a r   n i k ā l e   m a t l a b   s i k h ā e   t a h q ī r e d ī n o m a z h a b
زلف سے چہنتی ہوئی اس کے بدن کی تابشیں,zulf se chhantī huī us ke badan kī tābisheñ,ز ل ف   س ے   چ ہ ن ت ی   ہ و ئ ی   ا س   ک ے   ب د ن   ک ی   ت ا ب ش ی ں,z u l f   s e   c h h a n t ī   h u ī   u s   k e   b a d a n   k ī   t ā b i s h e ñ
تہے اٹہ دس سو ہو گئے اب چہل کے چار پانچ,the aath das so ho gae ab chhil ke chaar pāñch,ت ہ ے   ا ٹ ہ   د س   س و   ہ و   گ ئ ے   ا ب   چ ہ ل   ک ے   چ ا ر   پ ا ن چ,t h e   a a t h   d a s   s o   h o   g a e   a b   c h h i l   k e   c h a a r   p ā ñ c h
لطافت بے کثافت جلوہ پیدا کر نہیں سکتی,latāfat bekasāfat jalva paidā kar nahīñ saktī,ل ط ا ف ت   ب ے   ک ث ا ف ت   ج ل و ہ   پ ی د ا   ک ر   ن ہ ی ں   س ک ت ی,l a t ā f a t   b e k a s ā f a t   j a l v a   p a i d ā   k a r   n a h ī ñ   s a k t ī
مہلت ہمیں بسان شرر کم بہت ہے یاں,mohlat hameñ bisānesharar kam bahut hai yaañ,م ہ ل ت   ہ م ی ں   ب س ا ن   ش ر ر   ک م   ب ہ ت   ہ ے   ی ا ں,m o h l a t   h a m e ñ   b i s ā n e s h a r a r   k a m   b a h u t   h a i   y a a ñ
کہتے ہیں جب رہی نہ مجہے طاقت سخن,kahte haiñ jab rahī na mujhe tāqatesuḳhan,ک ہ ت ے   ہ ی ں   ج ب   ر ہ ی   ن ہ   م ج ہ ے   ط ا ق ت   س خ ن,k a h t e   h a i ñ   j a b   r a h ī   n a   m u j h e   t ā q a t e s u ḳ h a n
جی ڈہا جائے ہے سحر سے اہ,jī dhahā jaae hai sahar se aah,ج ی   ڈ ہ ا   ج ا ئ ے   ہ ے   س ح ر   س ے   ا ہ,j ī   d h a h ā   j a a e   h a i   s a h a r   s e   a a h
وہ بیٹہتے بہی ہیں تو مرے ہم نشیں سے دور,vo baithte bhī haiñ to mire hamnashīñ se duur,و ہ   ب ی ٹ ہ ت ے   ب ہ ی   ہ ی ں   ت و   م ر ے   ہ م   ن ش ی ں   س ے   د و ر,v o   b a i t h t e   b h ī   h a i ñ   t o   m i r e   h a m n a s h ī ñ   s e   d u u r
