Urdu Text,Roman Transliteration
یار لوگوں کے لقب القاب مت دیکہا کرو,yaar logoñ ke laqabalqāb mat dekhā karo
تشنگی میں لب بہگو لینا بہی کافی ہے فرازؔ,tishnagī meñ lab bhigo lenā bhī kaafī hai farāz
جام میں صہبا ہے یا زہراب مت دیکہا کرو,jaam meñ sahbā hai yā zahrāb mat dekhā karo
اب اور کیا کسی سے مراسم بڑہائیں ہم,ab aur kyā kisī se marāsim baḍhāeñ ham
یہ بہی بہت ہے تجہ کو اگر بہول جائیں ہم,ye bhī bahut hai tujh ko agar bhuul jaaeñ ham
صحرائے زندگی میں کوئی دوسرا نہ تہا,sahrāezindagī meñ koī dūsrā na thā
سنتے رہے ہیں اپ ہی اپنی صدائیں ہم,sunte rahe haiñ aap hī apnī sadāeñ ham
اس زندگی میں اتنی فراغت کسے نصیب,is zindagī meñ itnī farāġhat kise nasīb
اتنا نہ یاد ا کہ تجہے بہول جائیں ہم,itnā na yaad aa ki tujhe bhuul jaaeñ ham
تو اتنی دل زدہ تو نہ تہی اے شب فراق,tū itnī dilzada to na thī ai shabefirāq
ا تیرے راستے میں ستارے لٹائیں ہم,aa tere rāste meñ sitāre lutāeñ ham
وہ لوگ اب کہاں ہیں جو کہتے تہے کل فرازؔ,vo log ab kahāñ haiñ jo kahte the kal farāz
ہے ہے خدا نہ کردہ تجہے بہی رلائیں ہم,he he ḳhudānakarda tujhe bhī rulāeñ ham
اب کے ہم بچہڑے تو شاید کبہی خوابوں میں ملیں,ab ke ham bichhḍe to shāyad kabhī ḳhvāboñ meñ mileñ
جس طرح سوکہے ہوئے پہول کتابوں میں ملیں,jis tarah sūkhe hue phuul kitāboñ meñ mileñ
ڈہونڈ اجڑے ہوئے لوگوں میں وفا کے موتی,dhūñdh ujḍe hue logoñ meñ vafā ke motī
یہ خزانے تجہے ممکن ہے خرابوں میں ملیں,ye ḳhazāne tujhe mumkin hai ḳharāboñ meñ mileñ
غم دنیا بہی غم یار میں شامل کر لو,ġhameduniyā bhī ġhameyār meñ shāmil kar lo
نشہ بڑہتا ہے شرابیں جو شرابوں میں ملیں,nashsha baḍhtā hai sharābeñ jo sharāboñ meñ mileñ
تو خدا ہے نہ مرا عشق فرشتوں جیسا,tū ḳhudā hai na mirā ishq farishtoñ jaisā
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,donoñ insāñ haiñ to kyuuñ itne hijāboñ meñ mileñ
اج ہم دار پہ کہینچے گئے جن باتوں پر,aaj ham daar pe khīñche gae jin bātoñ par
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,kyā ajab kal vo zamāne ko nisāboñ meñ mileñ
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ,ab na vo maiñ na vo tū hai na vo maazī hai farāz
جیسے دو شخص تمنا کے سرابوں میں ملیں,jaise do shaḳhs tamannā ke sarāboñ meñ mileñ
اب کے تجدید وفا کا نہیں امکاں جاناں,ab ke tajdīdevafā kā nahīñ imkāñ jānāñ
یاد کیا تجہ کو دلائیں ترا پیماں جاناں,yaad kyā tujh ko dilāeñ tirā paimāñ jānāñ
یوں ہی موسم کی ادا دیکہ کے یاد ایا ہے,yūñhī mausam kī adā dekh ke yaad aayā hai
کس قدر جلد بدل جاتے ہیں انساں جاناں,kis qadar jald badal jaate haiñ insāñ jānāñ
زندگی تیری عطا تہی سو ترے نام کی ہے,zindagī terī atā thī so tire naam kī hai
ہم نے جیسے بہی بسر کی ترا احساں جاناں,ham ne jaise bhī basar kī tirā ehsāñ jānāñ
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بہی,dil ye kahtā hai ki shāyad hai fasurda tū bhī
دل کی کیا بات کریں دل تو ہے ناداں جاناں,dil kī kyā baat kareñ dil to hai nādāñ jānāñ
اول اول کی محبت کے نشے یاد تو کر,avval avval kī mohabbat ke nashe yaad to kar
بے پیے بہی ترا چہرہ تہا گلستاں جاناں,bepiye bhī tirā chehra thā gulistāñ jānāñ
اخر اخر تو یہ عالم ہے کہ اب ہوش نہیں,āḳhir āḳhir to ye aalam hai ki ab hosh nahīñ
رگ مینا سلگ اٹہی کہ رگ جاں جاناں,ragemīnā sulag utthī ki ragejāñ jānāñ
مدتوں سے یہی عالم نہ توقع نہ امید,muddatoñ se yahī aalam na tavaqqo na umiid
دل پکارے ہی چلا جاتا ہے جاناں جاناں,dil pukāre hī chalā jaatā hai jānāñ jānāñ
ہم بہی کیا سادہ تہے ہم نے بہی سمجہ رکہا تہا,ham bhī kyā saada the ham ne bhī samajh rakkhā thā
غم دوراں سے جدا ہے غم جاناں جاناں,ġhamedaurāñ se judā hai ġhamejānāñ jānāñ
اب کے کچہ ایسی سجی محفل یاراں جاناں,ab ke kuchh aisī sajī mahfileyārāñ jānāñ
سر بہ زانو ہے کوئی سر بہ گریباں جاناں,sarbazānū hai koī sarbagarebāñ jānāñ
ہر کوئی اپنی ہی اواز سے کانپ اٹہتا ہے,har koī apnī hī āvāz se kaañp uthtā hai
ہر کوئی اپنے ہی سائے سے ہراساں جاناں,har koī apne hī saae se hirāsāñ jānāñ
جس کو دیکہو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vahī zanjīrbapā lagtā hai
شہر کا شہر ہوا داخل زنداں جاناں,shahr kā shahr huā dāḳhilezindāñ jānāñ
اب ترا ذکر بہی شاید ہی غزل میں ائے,ab tirā zikr bhī shāyad hī ġhazal meñ aae
اور سے اور ہوئے درد کے عنواں جاناں,aur se aur hue dard ke unvāñ jānāñ
ہم کہ روٹہی ہوئی رت کو بہی منا لیتے تہے,ham ki rūthī huī rut ko bhī manā lete the
ہم نے دیکہا ہی نہ تہا موسم ہجراں جاناں,ham ne dekhā hī na thā mausamehijrāñ jānāñ
ہوش ایا تو سبہی خواب تہے ریزہ ریزہ,hosh aayā to sabhī ḳhvāb the reza reza
جیسے اڑتے ہوئے اوراق پریشاں جاناں,jaise uḍte hue aurāqepareshāñ jānāñ
اب کیا سوچیں کیا حالات تہے کس کارن یہ زہر پیا ہے,ab kyā socheñ kyā hālāt the kis kāran ye zahr piyā hai
ہم نے اس کے شہر کو چہوڑا اور انکہوں کو موند لیا ہے,ham ne us ke shahr ko chhoḍā aur āñkhoñ ko muuñd liyā hai
اپنا یہ شیوہ تو نہیں تہا اپنے غم اوروں کو سونپیں,apnā ye sheva to nahīñ thā apne ġham auroñ ko sauñpeñ
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے,ḳhud to jāgte yā sote haiñ us ko kyuuñ beḳhvāb kiyā hai
خلقت کے اوازے بہی تہے بند اس کے دروازے بہی تہے,ḳhilqat ke āvāze bhī the band us ke darvāze bhī the
پہر بہی اس کوچے سے گزرے پہر بہی اس کا نام لیا ہے,phir bhī us kūche se guzre phir bhī us kā naam liyā hai
ہجر کی رت جاں لیوا تہی پر غلط سبہی اندازے نکلے,hijr kī rut jāñlevā thī par ġhalat sabhī andāze nikle
تازہ رفاقت کے موسم تک میں بہی جیا ہوں وہ بہی جیا ہے,taaza rifāqat ke mausam tak maiñ bhī jiyā huuñ vo bhī jiyā hai
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکہ کے رسیا ہو,ek farāz tumhīñ tanhā ho jo ab tak dukh ke rasiyā ho
ورنہ اکثر دل والوں نے درد کا رستہ چہوڑ دیا ہے,varna aksar dil vāloñ ne dard kā rasta chhoḍ diyā hai
اب شوق سے کہ جاں سے گزر جانا چاہیئے,ab shauq se ki jaañ se guzar jaanā chāhiye
بول اے ہوائے شہر کدہر جانا چاہیئے,bol ai havāeshahr kidhar jaanā chāhiye
کب تک اسی کو اخری منزل کہیں گے ہم,kab tak isī ko āḳhirī manzil kaheñge ham
کوئے مراد سے بہی ادہر جانا چاہیئے,kūemurād se bhī udhar jaanā chāhiye
وہ وقت ا گیا ہے کہ ساحل کو چہوڑ کر,vo vaqt aa gayā hai ki sāhil ko chhoḍ kar
گہرے سمندروں میں اتر جانا چاہیئے,gahre samundaroñ meñ utar jaanā chāhiye
اب رفتگاں کی بات نہیں کارواں کی ہے,ab raftagāñ kī baat nahīñ kārvāñ kī hai
جس سمت بہی ہو گرد سفر جانا چاہیئے,jis samt bhī ho gardesafar jaanā chāhiye
کچہ تو ثبوت خون تمنا کہیں ملے,kuchh to subūteḳhūnetamannā kahīñ mile
ہے دل تہی تو انکہ کو بہر جانا چاہیئے,hai dil tahī to aañkh ko bhar jaanā chāhiye
یا اپنی خواہشوں کو مقدس نہ جانتے,yā apnī ḳhvāhishoñ ko muqaddas na jānte
یا خواہشوں کے ساتہ ہی مر جانا چاہیئے,yā ḳhvāhishoñ ke saath hī mar jaanā chāhiye
ابہی کچہ اور کرشمے غزل کے دیکہتے ہیں,abhī kuchh aur karishme ġhazal ke dekhte haiñ
فرازؔ اب ذرا لہجہ بدل کے دیکہتے ہیں,farāz ab zarā lahja badal ke dekhte haiñ
جدائیاں تو مقدر ہیں پہر بہی جان سفر,judāiyāñ to muqaddar haiñ phir bhī jānesafar
کچہ اور دور ذرا ساتہ چل کے دیکہتے ہیں,kuchh aur duur zarā saath chal ke dekhte haiñ
رہ وفا میں حریف خرام کوئی تو ہو,rahevafā meñ harīfeḳhirām koī to ho
سو اپنے اپ سے اگے نکل کے دیکہتے ہیں,so apne aap se aage nikal ke dekhte haiñ
تو سامنے ہے تو پہر کیوں یقیں نہیں اتا,tū sāmne hai to phir kyuuñ yaqīñ nahīñ aatā
یہ بار بار جو انکہوں کو مل کے دیکہتے ہیں,ye baar baar jo āñkhoñ ko mal ke dekhte haiñ
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log haiñ maujūd terī mahfil meñ
جو لالچوں سے تجہے مجہ کو جل کے دیکہتے ہیں,jo lālachoñ se tujhe mujh ko jal ke dekhte haiñ
یہ قرب کیا ہے کہ یک جاں ہوئے نہ دور رہے,ye qurb kyā hai ki yakjāñ hue na duur rahe
ہزار ایک ہی قالب میں ڈہل کے دیکہتے ہیں,hazār ek hī qālib meñ dhal ke dekhte haiñ
نہ تجہ کو مات ہوئی ہے نہ مجہ کو مات ہوئی,na tujh ko maat huī hai na mujh ko maat huī
سو اب کے دونوں ہی چالیں بدل کے دیکہتے ہیں,so ab ke donoñ hī chāleñ badal ke dekhte haiñ
یہ کون ہے سر ساحل کہ ڈوبنے والے,ye kaun hai saresāhil ki dūbne vaale
سمندروں کی تہوں سے اچہل کے دیکہتے ہیں,samundaroñ kī tahoñ se uchhal ke dekhte haiñ
ابہی تلک تو نہ کندن ہوئے نہ راکہ ہوئے,abhī talak to na kundan hue na raakh hue
ہم اپنی اگ میں ہر روز جل کے دیکہتے ہیں,ham apnī aag meñ har roz jal ke dekhte haiñ
بہت دنوں سے نہیں ہے کچہ اس کی خیر خبر,bahut dinoñ se nahīñ hai kuchh us kī ḳhair ḳhabar
چلو فرازؔ کو اے یار چل کے دیکہتے ہیں,chalo farāz ko ai yaar chal ke dekhte haiñ
اگرچہ زور ہواؤں نے ڈال رکہا ہے,agarche zor havāoñ ne daal rakkhā hai
مگر چراغ نے لو کو سنبہال رکہا ہے,magar charāġh ne lau ko sambhāl rakkhā hai
محبتوں میں تو ملنا ہے یا اجڑ جانا,mohabbatoñ meñ to milnā hai yā ujaḍ jaanā
مزاج عشق میں کب اعتدال رکہا ہے,mizājeishq meñ kab etidāl rakkhā hai
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ,havā meñ nashsha hī nashsha fazā meñ rañg hī rañg
یہ کس نے پیرہن اپنا اچہال رکہا ہے,ye kis ne pairahan apnā uchhāl rakkhā hai
بہلے دنوں کا بہروسا ہی کیا رہیں نہ رہیں,bhale dinoñ kā bharosā hī kyā raheñ na raheñ
سو میں نے رشتۂ غم کو بحال رکہا ہے,so maiñ ne rishtaeġham ko bahāl rakkhā hai
ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا,ham aise sādadiloñ ko vo dost ho ki ḳhudā
سبہی نے وعدۂ فردا پہ ٹال رکہا ہے,sabhī ne vādaefardā pe taal rakkhā hai
حساب لطف حریفاں کیا ہے جب تو کہلا,hisābelutfeharīfāñ kiyā hai jab to khulā
کہ دوستوں نے زیادہ خیال رکہا ہے,ki dostoñ ne ziyāda ḳhayāl rakkhā hai
بہری بہار میں اک شاخ پر کہلا ہے گلاب,bharī bahār meñ ik shāḳh par khilā hai gulāb
کہ جیسے تو نے ہتہیلی پہ گال رکہا ہے,ki jaise tū ne hathelī pe gaal rakkhā hai
فرازؔ عشق کی دنیا تو خوبصورت تہی,farāz ishq kī duniyā to ḳhūbsūrat thī
یہ کس نے فتنۂ ہجر و وصال رکہا ہے,ye kis ne fitnaehijrovisāl rakkhā hai
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے,aisā hai ki sab ḳhvāb musalsal nahīñ hote
جو اج تو ہوتے ہیں مگر کل نہیں ہوتے,jo aaj to hote haiñ magar kal nahīñ hote
اندر کی فضاؤں کے کرشمے بہی عجب ہیں,andar kī fazāoñ ke karishme bhī ajab haiñ
مینہ ٹوٹ کے برسے بہی تو بادل نہیں ہوتے,meñh tuut ke barse bhī to bādal nahīñ hote
کچہ مشکلیں ایسی ہیں کہ اساں نہیں ہوتیں,kuchh mushkileñ aisī haiñ ki āsāñ nahīñ hotīñ
کچہ ایسے معمے ہیں کبہی حل نہیں ہوتے,kuchh aise muamme haiñ kabhī hal nahīñ hote
شائستگیٔ غم کے سبب انکہوں کے صحرا,shāistagīeġham ke sabab āñkhoñ ke sahrā
نمناک تو ہو جاتے ہیں جل تہل نہیں ہوتے,namnāk to ho jaate haiñ jalthal nahīñ hote
کیسے ہی تلاطم ہوں مگر قلزم جاں میں,kaise hī talātum hoñ magar qulzumejāñ meñ
کچہ یاد جزیرے ہیں کہ اوجہل نہیں ہوتے,kuchh yādjazīre haiñ ki ojhal nahīñ hote
عشاق کے مانند کئی اہل ہوس بہی,ushshāq ke mānind kaī ahlehavas bhī
پاگل تو نظر اتے ہیں پاگل نہیں ہوتے,pāgal to nazar aate haiñ pāgal nahīñ hote
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے,sab ḳhvāhisheñ puurī hoñ farāz aisā nahīñ hai
جیسے کئی اشعار مکمل نہیں ہوتے,jaise kaī ashār mukammal nahīñ hote
ایسے چپ ہیں کہ یہ منزل بہی کڑی ہو جیسے,aise chup haiñ ki ye manzil bhī kaḍī ho jaise
تیرا ملنا بہی جدائی کی گہڑی ہو جیسے,terā milnā bhī judāī kī ghaḍī ho jaise
اپنے ہی سائے سے ہر گام لرز جاتا ہوں,apne hī saae se har gaam laraz jaatā huuñ
راستے میں کوئی دیوار کہڑی ہو جیسے,rāste meñ koī dīvār khaḍī ho jaise
کتنے ناداں ہیں ترے بہولنے والے کہ تجہے,kitne nādāñ haiñ tire bhūlne vaale ki tujhe
یاد کرنے کے لیے عمر پڑی ہو جیسے,yaad karne ke liye umr paḍī ho jaise
تیرے ماتہے کی شکن پہلے بہی دیکہی تہی مگر,tere māthe kī shikan pahle bhī dekhī thī magar
یہ گرہ اب کے مرے دل میں پڑی ہو جیسے,ye girah ab ke mire dil meñ paḍī ho jaise
منزلیں دور بہی ہیں منزلیں نزدیک بہی ہیں,manzileñ duur bhī haiñ manzileñ nazdīk bhī haiñ
اپنے ہی پاؤں میں زنجیر پڑی ہو جیسے,apne hī paañv meñ zanjīr paḍī ho jaise
اج دل کہول کے روئے ہیں تو یوں خوش ہیں فرازؔ,aaj dil khol ke roe haiñ to yuuñ ḳhush haiñ farāz
چند لمحوں کی یہ راحت بہی بڑی ہو جیسے,chand lamhoñ kī ye rāhat bhī baḍī ho jaise
عجب جنون مسافت میں گہر سے نکلا تہا,ajab junūnemasāfat meñ ghar se niklā thā
خبر نہیں ہے کہ سورج کدہر سے نکلا تہا,ḳhabar nahīñ hai ki sūraj kidhar se niklā thā
یہ کون پہر سے انہیں راستوں میں چہوڑ گیا,ye kaun phir se unhīñ rāstoñ meñ chhoḍ gayā
ابہی ابہی تو عذاب سفر سے نکلا تہا,abhī abhī to azābesafar se niklā thā
یہ تیر دل میں مگر بے سبب نہیں اترا,ye tiir dil meñ magar besabab nahīñ utrā
کوئی تو حرف لب چارہ گر سے نکلا تہا,koī to harf labechāragar se niklā thā
یہ اب جو اگ بنا شہر شہر پہیلا ہے,ye ab jo aag banā shahr shahr phailā hai
یہی دہواں مرے دیوار و در سے نکلا تہا,yahī dhuāñ mire dīvārodar se niklā thā
میں رات ٹوٹ کے رویا تو چین سے سویا,maiñ raat tuut ke royā to chain se soyā
کہ دل کا زہر مری چشم تر سے نکلا تہا,ki dil kā zahr mirī chashmetar se niklā thā
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر,ye ab jo sar haiñ ḳhamīda kulāh kī ḳhātir
یہ عیب بہی تو ہم اہل ہنر سے نکلا تہا,ye aib bhī to ham ahlehunar se niklā thā
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ,vo qais ab jise majnūñ pukārte haiñ farāz
تری طرح کوئی دیوانہ گہر سے نکلا تہا,tirī tarah koī dīvāna ghar se niklā thā
اول اول کی دوستی ہے ابہی,avval avval kī dostī hai abhī
اک غزل ہے کہ ہو رہی ہے ابہی,ik ġhazal hai ki ho rahī hai abhī
میں بہی شہر وفا میں نو وارد,maiñ bhī shahrevafā meñ nauvārid
وہ بہی رک رک کے چل رہی ہے ابہی,vo bhī ruk ruk ke chal rahī hai abhī
میں بہی ایسا کہاں کا زود شناس,maiñ bhī aisā kahāñ kā zūdshanās
وہ بہی لگتا ہے سوچتی ہے ابہی,vo bhī lagtā hai sochtī hai abhī
دل کی وارفتگی ہے اپنی جگہ,dil kī vāraftagī hai apnī jagah
پہر بہی کچہ احتیاط سی ہے ابہی,phir bhī kuchh ehtiyāt sī hai abhī
گرچہ پہلا سا اجتناب نہیں,garche pahlā sā ijtināb nahīñ
پہر بہی کم کم سپردگی ہے ابہی,phir bhī kam kam supurdagī hai abhī
کیسا موسم ہے کچہ نہیں کہلتا,kaisā mausam hai kuchh nahīñ khultā
بوندا باندی بہی دہوپ بہی ہے ابہی,būñdābāndī bhī dhuup bhī hai abhī
خود کلامی میں کب یہ نشہ تہا,ḳhudkalāmī meñ kab ye nashsha thā
جس طرح روبرو کوئی ہے ابہی,jis tarah rūbarū koī hai abhī
قربتیں لاکہ خوبصورت ہوں,qurbateñ laakh ḳhūbsūrat hoñ
دوریوں میں بہی دل کشی ہے ابہی,dūriyoñ meñ bhī dilkashī hai abhī
فصل گل میں بہار پہلا گلاب,faslegul meñ bahār pahlā gulāb
کس کی زلفوں میں ٹانکتی ہے ابہی,kis kī zulfoñ meñ tāñktī hai abhī
مدتیں ہو گئیں فرازؔ مگر,muddateñ ho gaiiñ farāz magar
وہ جو دیوانگی کہ تہی ہے ابہی,vo jo dīvāngī ki thī hai abhī
دوست بن کر بہی نہیں ساتہ نبہانے والا,dost ban kar bhī nahīñ saath nibhāne vaalā
وہی انداز ہے ظالم کا زمانے والا,vahī andāz hai zālim kā zamāne vaalā
اب اسے لوگ سمجہتے ہیں گرفتار مرا,ab use log samajhte haiñ giraftār mirā
سخت نادم ہے مجہے دام میں لانے والا,saḳht nādim hai mujhe daam meñ laane vaalā
صبح دم چہوڑ گیا نکہت گل کی صورت,subhdam chhoḍ gayā nikhategul kī sūrat
رات کو غنچۂ دل میں سمٹ انے والا,raat ko ġhunchaedil meñ simat aane vaalā
کیا کہیں کتنے مراسم تہے ہمارے اس سے,kyā kaheñ kitne marāsim the hamāre us se
وہ جو اک شخص ہے منہ پہیر کے جانے والا,vo jo ik shaḳhs hai muñh pher ke jaane vaalā
تیرے ہوتے ہوئے ا جاتی تہی ساری دنیا,tere hote hue aa jaatī thī saarī duniyā
اج تنہا ہوں تو کوئی نہیں انے والا,aaj tanhā huuñ to koī nahīñ aane vaalā
منتظر کس کا ہوں ٹوٹی ہوئی دہلیز پہ میں,muntazir kis kā huuñ tuutī huī dahlīz pe maiñ
کون ائے گا یہاں کون ہے انے والا,kaun aaegā yahāñ kaun hai aane vaalā
کیا خبر تہی جو مری جاں میں گہلا ہے اتنا,kyā ḳhabar thī jo mirī jaañ meñ ghulā hai itnā
ہے وہی مجہ کو سر دار بہی لانے والا,hai vahī mujh ko saredār bhī laane vaalā
میں نے دیکہا ہے بہاروں میں چمن کو جلتے,maiñ ne dekhā hai bahāroñ meñ chaman ko jalte
ہے کوئی خواب کی تعبیر بتانے والا,hai koī ḳhvāb kī tābīr batāne vaalā
تم تکلف کو بہی اخلاص سمجہتے ہو فرازؔ,tum takalluf ko bhī iḳhlās samajhte ho farāz
دوست ہوتا نہیں ہر ہاتہ ملانے والا,dost hotā nahīñ har haath milāne vaalā
دکہ فسانہ نہیں کہ تجہ سے کہیں,dukh fasāna nahīñ ki tujh se kaheñ
دل بہی مانا نہیں کہ تجہ سے کہیں,dil bhī maanā nahīñ ki tujh se kaheñ
اج تک اپنی بیکلی کا سبب,aaj tak apnī bekalī kā sabab
خود بہی جانا نہیں کہ تجہ سے کہیں,ḳhud bhī jaanā nahīñ ki tujh se kaheñ
بے طرح حال دل ہے اور تجہ سے,betarah hāledil hai aur tujh se
دوستانہ نہیں کہ تجہ سے کہیں,dostāna nahīñ ki tujh se kaheñ
ایک تو حرف اشنا تہا مگر,ek tū harfeāshnā thā magar
اب زمانہ نہیں کہ تجہ سے کہیں,ab zamāna nahīñ ki tujh se kaheñ
قاصدا ہم فقیر لوگوں کا,qāsidā ham faqīr logoñ kā
اک ٹہکانہ نہیں کہ تجہ سے کہیں,ik thikāna nahīñ ki tujh se kaheñ
اے خدا درد دل ہے بخشش دوست,ai ḳhudā dardedil hai baḳhshishedost
اب و دانہ نہیں کہ تجہ سے کہیں,ābodāna nahīñ ki tujh se kaheñ
اب تو اپنا بہی اس گلی میں فرازؔ,ab to apnā bhī us galī meñ farāz
انا جانا نہیں کہ تجہ سے کہیں,aanā jaanā nahīñ ki tujh se kaheñ
گفتگو اچہی لگی ذوق نظر اچہا لگا,guftugū achchhī lagī zauqenazar achchhā lagā
مدتوں کے بعد کوئی ہم سفر اچہا لگا,muddatoñ ke baad koī hamsafar achchhā lagā
دل کا دکہ جانا تو دل کا مسئلہ ہے پر ہمیں,dil kā dukh jaanā to dil kā masala hai par hameñ
اس کا ہنس دینا ہمارے حال پر اچہا لگا,us kā hañs denā hamāre haal par achchhā lagā
ہر طرح کی بے سر و سامانیوں کے باوجود,har tarah kī besarosāmāniyoñ ke bāvajūd
اج وہ ایا تو مجہ کو اپنا گہر اچہا لگا,aaj vo aayā to mujh ko apnā ghar achchhā lagā
باغباں گلچیں کو چاہے جو کہے ہم کو تو پہول,bāġhbāñ gulchīñ ko chāhe jo kahe ham ko to phuul
شاخ سے بڑہ کر کف دل دار پر اچہا لگا,shāḳh se baḍh kar kafedildār par achchhā lagā
کوئی مقتل میں نہ پہنچا کون ظالم تہا جسے,koī maqtal meñ na pahuñchā kaun zālim thā jise
تیغ قاتل سے زیادہ اپنا سر اچہا لگا,teġheqātil se ziyāda apnā sar achchhā lagā
ہم بہی قائل ہیں وفا میں استواری کے مگر,ham bhī qaael haiñ vafā meñ ustuvārī ke magar
کوئی پوچہے کون کس کو عمر بہر اچہا لگا,koī pūchhe kaun kis ko umr bhar achchhā lagā
اپنی اپنی چاہتیں ہیں لوگ اب جو بہی کہیں,apnī apnī chāhateñ haiñ log ab jo bhī kaheñ
اک پری پیکر کو اک اشفتہ سر اچہا لگا,ik parīpaikar ko ik āshuftasar achchhā lagā
میرؔ کے مانند اکثر زیست کرتا تہا فرازؔ,mīr ke mānind aksar ziist kartā thā farāz
تہا تو وہ دیوانہ سا شاعر مگر اچہا لگا,thā to vo dīvāna sā shāir magar achchhā lagā
ہر کوئی دل کی ہتہیلی پہ ہے صحرا رکہے,har koī dil kī hathelī pe hai sahrā rakkhe
کس کو سیراب کرے وہ کسے پیاسا رکہے,kis ko sairāb kare vo kise pyāsā rakkhe
عمر بہر کون نبہاتا ہے تعلق اتنا,umr bhar kaun nibhātā hai taalluq itnā
اے مری جان کے دشمن تجہے اللہ رکہے,ai mirī jaan ke dushman tujhe allāh rakkhe
ہم کو اچہا نہیں لگتا کوئی ہم نام ترا,ham ko achchhā nahīñ lagtā koī hamnām tirā
کوئی تجہ سا ہو تو پہر نام بہی تجہ سا رکہے,koī tujh sā ho to phir naam bhī tujh sā rakkhe
دل بہی پاگل ہے کہ اس شخص سے وابستہ ہے,dil bhī pāgal hai ki us shaḳhs se vābasta hai
جو کسی اور کا ہونے دے نہ اپنا رکہے,jo kisī aur kā hone de na apnā rakkhe
کم نہیں طمع عبادت بہی تو حرص زر سے,kam nahīñ tamaeibādat bhī to hirsezar se
فقر تو وہ ہے کہ جو دین نہ دنیا رکہے,faqr to vo hai ki jo diin na duniyā rakkhe
ہنس نہ اتنا بہی فقیروں کے اکیلے پن پر,hañs na itnā bhī faqīroñ ke akelepan par
جا خدا میری طرح تجہ کو بہی تنہا رکہے,jā ḳhudā merī tarah tujh ko bhī tanhā rakkhe
یہ قناعت ہے اطاعت ہے کہ چاہت ہے فرازؔ,ye qanāat hai itāat hai ki chāhat hai farāz
ہم تو راضی ہیں وہ جس حال میں جیسا رکہے,ham to raazī haiñ vo jis haal meñ jaisā rakkhe
ہوا کے زور سے پندار بام و در بہی گیا,havā ke zor se pindārebāmodar bhī gayā
